"filename","failed_anlysis","CHATTY_SERVICE","CYCLIC_DEPENDENCY","DATA_SERVICE","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CYCLIC_DEPENDENCY_ns","DATA_SERVICE_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"33 app example 4.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","17800","118300","16600","306900","320800","10000","5000","14000","460100","367300","432700","22000","27500","62","71","75196"
"33 integration of bouded contexts through enterprise service bus.xml","0","0","1","0","1","1","0","0","0","1","0","0","1","1","79500","417300","19300","154700","380000","27200","5400","21300","315700","455700","532600","14000","15900","57","107","75172"
"33 integration of bouded contexts through message queue.xml","0","0","1","0","0","1","0","0","0","1","0","0","1","1","79700","369100","19300","148300","173100","26300","5700","19700","313500","441900","510400","18500","25100","56","111","75860"
"4 assertions.xml","0","0","1","0","0","0","0","0","0","0","0","0","1","0","10000","26600","8400","30300","23800","8000","3700","3200","12100","28300","27300","7500","6400","9","14","12269"
"4 Decorator v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","15900","354000","18500","478100","358300","328700","11100","4500","558100","727400","760700","15100","22300","76","93","67679"
"4 entities.xml","0","0","0","0","1","0","0","0","0","1","0","1","0","0","16400","130700","17400","244800","225100","8400","4500","4100","243000","349500","388900","12200","42200","59","66","52140"
"4 highlighted core.xml","0","0","1","0","0","1","0","0","0","0","0","0","0","0","11100","97700","10600","37800","49000","5600","3800","3400","26500","65100","69300","5400","8300","20","44","26713"
"4 Iterator v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","12600","404400","15600","298500","292300","7800","4800","3300","257700","369500","452300","12400","17600","62","105","75089"
"4 knowledge level.xml","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11000","13500","9300","10000","9400","4100","3600","3100","9400","7600","7900","4000","6500","5","5","6150"
"4 Prototype v1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4 Referring to Objects.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","11200","17800","9300","31100","26400","5000","4500","3200","49100","29200","27800","5900","7600","16","14","38752"
