"filename","failed_anlysis","CHATTY_SERVICE","CYCLIC_DEPENDENCY","DATA_SERVICE","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CYCLIC_DEPENDENCY_ns","DATA_SERVICE_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"3 side-effect free functions_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10477800","10262300","10160100","10054200","10087400","10197800","10233900","10119500","19891900","10423300","10415500","10321400","10233300","6","5","16594"
"3 user interface_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","1","0","10682200","10831200","10613500","10443500","10435900","10423800","10394900","10443300","98973900","1388643800","1352803100","10362000","10330100","134","262","515816"
"30 app example 1_transformed.graphml","0","0","0","1","1","1","0","1","0","1","1","1","1","0","10574600","10696800","10555600","10375500","10458400","10379300","10822900","10379100","32177400","1843463300","1969965700","10478100","10350000","182","255","575242"
"31 app example 2_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32 app example 3_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33 app example 4_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","10749000","10627500","10546200","10595300","10452200","10307300","10445300","10437200","21669700","413304400","462269000","10567400","10403100","55","54","147706"
"33 integration of bouded contexts through enterprise service bus_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","1","0","10380000","10462700","10397200","10204100","10200400","10166900","10162100","10407300","22519300","671371300","672183900","10238400","10166300","55","106","210322"
"33 integration of bouded contexts through message queue_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","1","0","10485200","10895400","10639400","10358300","10389700","10317600","10479600","10495100","22557500","630732000","628673100","10439200","10276700","54","107","210520"
"4 assertions_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","1","0","16443700","10495600","10705600","10440300","10522400","10428900","10416200","10342900","20081700","122677100","122971600","10314700","10283700","8","11","27207"
"4 Decorator v1_transformed.graphml","0","0","0","0","1","1","0","0","0","1","1","1","0","0","16468300","13548500","10757800","10509300","10433300","10361900","10438500","10376100","20790000","413850000","442046200","10663100","10480100","32","43","100320"
"4 entities_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","17056200","10896000","10987700","10474600","10581600","10495600","10471800","10256700","20218900","324317900","348417500","10420400","10326400","21","25","62402"
"4 highlighted core_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","16320900","10584700","10651800","10205900","11213500","10170200","10341600","10434600","20184200","160244200","165507300","10534500","11450400","16","36","68554"
"4 Iterator v1_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","15994800","10765400","11342300","10574400","10622500","10697500","10522800","10172100","20672100","648533600","649093900","10319500","10250000","44","73","153847"
"4 knowledge level_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17159100","10316300","10370300","10721300","10354800","10235200","10371000","10270000","19773800","10544500","10270800","10116000","10149300","0","0","1329"
"4 Prototype v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","1","1","0","0","15861700","10563800","10598300","10220800","10222400","10117400","10192000","10143200","20399400","273159400","309638800","10318400","10118100","21","31","69517"
"4 Referring to Objects_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","16006600","10316600","10660500","10376500","10217000","10075300","10217400","10150800","21087200","48184900","48108000","10301800","10361500","29","13","58573"
"4 shared kernel_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","15619500","10565300","10634200","10287000","10336100","24675100","10335600","10320000","22905100","273518300","291239000","10223000","10145400","47","49","126676"
"4 specification_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10191000","10189400","10144200","10068500","10227000","10278300","10291700","10278400","19785400","10278200","10202100","10173900","10189000","0","0","1329"
"5 cohesive mechanisms_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","10366900","10547600","10325400","10279300","10331500","10321700","10489800","10441900","20463500","151226500","160364800","10192400","10125500","16","34","66131"
"5 conceptual contours_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10154100","10125900","10183700","10159700","10415600","10379200","10426800","10383500","19980700","10505500","10521100","10441700","10343200","0","0","1329"
"5 customer-supplier teams_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","16145100","10673900","10696000","10297900","10362800","10315400","10415200","10362300","20509200","226551200","253736300","10184300","10157600","20","44","84001"
"5 dependency Inversion_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10215500","10281900","10446500","10585000","10584200","10360900","10408700","10402000","20763300","10621400","10455100","10341100","10429200","30","48","103570"
"5 Facade v1_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","17081500","10488800","11329800","10493000","10995600","10409200","10485600","10415600","20359800","141810000","141571100","10303800","10186200","14","12","36718"
"5 Inventory and Accounting_transformed.graphml","0","0","1","0","1","0","0","0","0","1","1","1","1","0","10432000","10353000","10265200","10668600","10319500","10213700","10191100","10682600","84792800","492777800","500798800","10420300","10196500","192","93","391511"
"5 Mediator v1_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","10309800","10316800","10620800","10118400","10216200","10271300","10131300","10071200","19941900","406489300","403205800","10469700","10137300","26","45","94084"
"5 pluggable component framework_transformed.graphml","0","0","1","1","0","1","0","0","0","1","0","1","0","0","10304800","10326900","10258100","10205000","10231200","10209600","10178400","10197700","20511400","216461300","235666200","10479400","10245000","31","51","111737"
"5 Singleton v1_transformed.graphml","0","0","0","0","0","1","0","0","0","0","1","1","0","0","10233000","10164900","10138100","10197200","10294200","10330100","10217800","10092600","19575300","122685800","123895300","10296600","10263400","8","14","30470"
"5 value-objects_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","10184700","10130400","10169500","10138000","10174300","10200600","10299600","10278500","20501600","365038700","404828700","10479500","10373300","26","30","75742"
"6 Archisurance_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","10596900","10859700","10642900","10714500","10677700","10537500","10514800","10582700","23123400","806256000","784358700","10525600","10468200","155","157","407695"
"6 conformist_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","10424400","10592800","10552900","10413500","10391500","10993500","10526500","10430700","20451600","198944300","197564700","10458900","10330400","17","40","75026"
"6 domain services_transformed.graphml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","10259700","10267300","10245900","10148200","10229100","10169300","10401200","10211600","19784100","10304200","10303200","12965500","10065300","12","12","34408"
"6 event sourcing_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10355100","10335000","10425400","10430000","10306100","10247200","10349200","11004000","20056100","10356600","10432500","10264500","10451700","0","0","1329"
"6 Flyweight v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","1","1","0","0","10431100","10223800","10085500","10200700","10139600","10150000","10335400","10184100","20476100","435487500","499777000","10297500","10201300","34","46","106900"
"6 Memento v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","10243500","10099800","10073400","10096900","10249300","10269100","13943400","10110500","19874700","234768700","236477200","10194100","10151900","14","23","49754"
"6 Planning_transformed.graphml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","10240300","10279100","10252500","10930800","11899500","10133100","10207100","10271200","74877600","10497900","10214800","10279700","10438500","185","39","315934"
"6 standalone classes_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10422400","10451200","10420600","10379800","10362700","10420100","10504300","10355600","19803500","10394100","10454200","10380800","10317800","0","0","1329"
"7 anticorruption layer_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","10527100","11421900","10504300","10404100","11216800","10414600","10376500","10365400","20421400","221512700","216455700","10566600","10358900","18","38","73762"
"7 closure of operations_transformed.graphml","0","0","0","0","0","1","0","0","0","0","0","0","0","0","10330100","10340100","10139100","10055500","10105800","10108300","10163200","10163600","19768400","85434100","85441300","10116800","10091100","5","6","16361"
"7 modules_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10298200","10242200","10347500","10427700","10399700","10227800","10147300","10312600","24566600","10248500","10397500","10208600","10257300","0","0","1329"
"7 Observer v1_transformed.graphml","0","0","0","0","1","1","0","0","0","1","1","1","0","0","10256600","10268600","13104000","10166500","10180100","10101000","10104000","10069600","19930300","362092000","311833500","10223500","10093100","24","36","80003"
"7 Proxy v1_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","10286200","10259000","10075400","10259100","10343800","10272000","10142300","10069400","20062200","253566900","253494800","10207800","10070300","18","36","71867"
"7 segregated core_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","10297600","10200800","10174900","10351700","10355800","10378600","10324500","10350900","20424200","217275500","217446700","10253800","10178200","17","38","72437"
"7 Trading_transformed.graphml","0","0","1","0","1","0","0","0","0","1","1","1","1","0","10301500","10398500","10170900","10429600","10226400","10129800","10245100","10374800","25407400","244956700","256147000","10253700","10274000","114","54","235758"
"8 abstract core_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","10349900","10432900","10247300","10372600","10488100","10424200","10470400","10463000","20475800","217160100","235269200","10119900","10048600","23","54","100686"
"8 aggregates_transformed.graphml","0","0","1","0","1","1","0","0","0","1","0","1","0","0","10336700","11181700","10687700","10464700","10296400","10249600","10463500","10341600","2270353700","399976300","462724900","10366800","13151000","171","210","504475"
"8 CQRS An Architecture of a Bounded Context_transformed.graphml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10340700","10160900","10069000","10202200","10256300","10145200","10157900","10188800","19979400","10324900","10323600","10241400","13740500","2","0","4443"
"8 Derivative Contracts_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8 separate ways_transformed.graphml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","10221400","10236200","10515800","10556100","10515800","10214700","10220500","10156300","20209900","186610400","178906000","10400000","10304500","17","33","66045"
"8 State v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","1","1","0","0","10227600","10195400","10122700","10036300","10186600","10135500","10287300","10150100","20340600","367475400","366602200","10234600","10442800","24","46","92561"
"9 factories_transformed.graphml","0","0","1","0","1","1","0","0","0","1","0","1","0","0","10254900","10346900","10108400","10243800","10255500","10256600","10124100","10095900","20966400","263881900","291401700","10199200","10157600","28","27","74993"
"9 open host service_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","10320200","10409600","10109600","10211600","10283000","10188700","10152000","10048600","20413800","273498800","272127900","10139000","10061900","23","52","97986"
"9 Strategy v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","10170200","10603900","10377400","10489100","10288300","10163600","10101200","10009400","19902800","243822700","254524500","10419300","10421000","15","19","47090"
"9 Trading Packages_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","1","0","10426200","10606000","10484600","10707200","10404400","10473600","10394300","10418900","23005100","245664400","255227800","10316900","10294100","99","102","269714"
"Active Record_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10132200","10025600","10003300","9995900","10090600","10170800","10169100","10040100","19656000","10179900","10274500","10221900","10033500","0","0","1329"
"additional patterns 2 Martins Clean Architecture BAD_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","10635500","10540100","10280500","10189700","10131000","10090500","10189300","10117800","22963600","931588900","932174900","10314900","10129400","90","119","284220"
"additional patterns 2 Martins Clean Architecture GOOD_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","10281500","10311900","10279900","10337400","10183400","10223900","10197800","10120800","24134600","933669700","929853200","10542000","11584200","111","123","318087"
"Alastria_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","10956500","14797500","10727300","10349700","10237700","10183200","10368000","10104800","81744600","1492755600","1502749900","10384700","10275800","156","289","596918"
"alo_transformed.graphml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10221700","10066900","10057000","10062300","10208000","10213300","10169600","10070300","19543100","10177300","10159900","10163900","10015100","4","0","7285"
"AMS2020_G010_E!_transformed.graphml","0","0","1","1","1","1","0","1","0","1","1","1","0","0","10338000","10892900","10489300","10199000","10170700","10204700","10409100","11455500","20797800","1147808800","1365971100","10392200","10240300","80","137","293044"
