"filename","failed_anlysis","CHATTY_SERVICE","CHATTY_SERVICE_imp","CYCLIC_DEPENDENCY","CYCLIC_DEPENDENCY_imp","DATA_SERVICE","DATA_SERVICE_imp","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","MESSAGE_CHAIN_imp","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CHATTY_SERVICE_imp_ns","CYCLIC_DEPENDENCY_ns","CYCLIC_DEPENDENCY_imp_ns","DATA_SERVICE_ns","DATA_SERVICE_imp_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","MESSAGE_CHAIN_imp_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"3 contextual map_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","0","0","0","8863600","1061900","8896400","9423400","12589600","986100","8737400","8862900","8841000","985200","8778300","8807400","18710600","320574700","319899800","10311300","8906700","37","65","133341"
"3 domain vision statement_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8862000","1037600","8740000","9027400","9160200","1031200","8856500","9090600","8934400","1079500","8884200","8916900","17009600","102201500","102060100","8958300","8872500","7","7","20281"
"3 Factory Method v1_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","8957700","987200","8787900","9050200","8712400","942200","8897600","9101000","9126500","1139100","8810800","8733700","17605700","334168100","333811000","9020500","8760800","24","37","81265"
"3 Interpreter v1_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","8895500","974700","8741600","8795900","8674400","933500","8809800","9021900","8854300","1007400","8715700","8681000","17146000","288109300","303277700","8710900","8733900","23","38","81543"
"3 Observations for Corporate Finance_transformed.graphml","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","1","1","0","8874700","961100","8874300","9272100","9048900","920600","9206300","9048100","8852500","961200","8710300","8999800","61723600","219412400","226535200","9139100","8961900","159","52","290430"
"3 responsibility layers_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","9076000","1106700","8730200","8869000","8882200","1060000","9150900","8981600","8749800","898000","8702500","8693400","21541900","8872900","8953900","8947700","9042900","53","0","78573"
"3 side-effect free functions_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8974400","1012500","8639600","8683600","8732500","853700","8605300","8818800","8706200","1025600","8686700","8673100","16664400","8787400","8949400","8824400","8743900","6","5","16594"
"3 user interface_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","1","0","9200200","1123100","9096800","9477600","8944100","995400","8831600","8987500","8951700","1205300","8870100","8953100","87166800","1219687500","1127321200","8874000","8820500","134","262","515816"
"30 app example 1_transformed.graphml","0","0","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","0","9033700","967300","9074000","9460100","9072200","1020800","8770000","8800000","8961200","1043700","9111900","8951400","26724600","1458381100","1621827200","8919100","8823400","182","255","575242"
"31 app example 2_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32 app example 3_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33 app example 4_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","9135200","996400","8879600","8902200","8860500","902600","8888000","8941600","8896200","1033800","8840600","8905100","18673100","342824200","380750300","8849000","8795900","55","54","147706"
