"filename","failed_anlysis","CHATTY_SERVICE","CHATTY_SERVICE_imp","CYCLIC_DEPENDENCY","CYCLIC_DEPENDENCY_imp","DATA_SERVICE","DATA_SERVICE_imp","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","MESSAGE_CHAIN_imp","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CHATTY_SERVICE_imp_ns","CYCLIC_DEPENDENCY_ns","CYCLIC_DEPENDENCY_imp_ns","DATA_SERVICE_ns","DATA_SERVICE_imp_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","MESSAGE_CHAIN_imp_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"Managed Object_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","8683000","1000000","8494100","8553600","8713900","902700","8568300","8599800","8578100","1005700","8663200","8625000","16811400","71569300","70772500","8604500","8572000","16","19","47674"
"Mapper_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8588500","829100","8481000","8500300","8516700","745100","8486800","8526800","8604800","796100","8554500","8511800","16588500","8669600","8663400","8531700","8470800","0","0","1329"
"MDD_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","8706400","858500","8653000","8590200","8912400","932300","8586800","8711000","8695000","900700","8545100","8784000","18165100","249166500","318614700","8782600","8725800","40","30","99443"
"MDM_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8774300","1017200","8512500","8632900","8730500","875000","8512200","8669200","8604400","1039000","8593600","8550500","16575200","8721400","8654900","8594000","8570300","10","13","31895"
"Meldingsutveksling internt i forvaltningen_transformed.graphml","0","0","0","0","1","1","1","1","1","0","0","0","0","1","1","1","0","0","8771500","1058900","8627800","8903000","8716500","914800","8764800","8729100","8659200","1040800","8619500","8712400","17663900","427814000","442590300","8824700","8643200","69","62","174426"
"Metadata Mapping_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8634700","837700","8498700","8577100","8571000","785100","8503200","8911000","8733400","920400","8595200","8570000","16424600","8760800","8682300","8574300","8649900","0","0","1329"
"metamodel_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","8810100","831300","8870400","9081300","8522100","768900","8520900","8565500","9001100","800200","8536500","8524100","16486100","277063500","272293300","8630700","8717300","18","34","71536"
"Microservices Design Patterns - Saga Orchestration_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","8652700","751500","8566200","8765600","8539800","754400","8480600","8585900","8577200","791400","8629800","8528800","16662000","117035900","118023600","8870500","8820600","13","17","42091"
"Minimum_login_feature_transformed.graphml","0","1","1","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0","8994100","1185800","8569800","8616300","8690200","889700","8563200","8599200","9008600","1402700","8547100","8510800","16723600","8666300","8675000","8503500","8556700","13","17","42206"
"Mobile Computing_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8662500","1007100","8626000","8583700","8698300","869500","8495600","8602500","8748300","1022200","8644000","8637200","16586400","8683600","8848600","8625500","8537400","5","4","13637"
"Mobile Connected Device_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","8872400","1028900","8547600","9581900","8679800","864600","8534600","8600800","8615500","995400","8519700","8723700","16651200","8729300","8684300","8580900","8575500","8","11","26553"
"modelo1_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8886600","1258900","8765400","8842400","8876000","978600","8855800","8785800","8705000","1129000","8808100","8620200","24495300","511563000","521973000","8644300","8790900","110","105","294514"
"model_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8679900","822500","8546400","8628400","8820600","789900","8535800","8684400","8602000","859900","8564000","8546800","16519400","8635500","8642800","8553400","8635700","1","0","3088"
"Money_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8776600","842300","8611000","8534800","8557600","745300","8500300","8619800","8641600","851900","8589400","8561200","16545100","39858900","39769000","8583700","8614400","7","5","17592"
"motivation_model_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","8673200","811900","8577700","8649200","8627200","775100","8582900","8743200","8767000","900500","8765200","8732500","16814500","78568000","102212000","8636600","8568900","16","22","53911"
"MyWorkspace_transformed.graphml","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","0","8976900","1150400","8930200","10115300","8787600","1216000","8790900","8705000","9086500","1807000","8635700","8765100","19353000","611974200","648255100","8884600","8693100","166","169","452315"
"needless-compass_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","8634000","841200","8526100","8522800","8668600","874300","8476200","8582400","8507200","823700","8537900","8543900","16682000","134559300","194595500","8609200","8564300","12","11","32118"
"NEO Architecture Reference Model for .NET Developers (neo-charm)_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8663000","888900","8572800","8511000","8966500","947100","8759100","8944700","8842700","1041800","8789800","8794700","16774200","8899100","8824900","8622700","8554500","5","1","10229"
"NewLightning_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","1","1","0","1","0","0","8718500","844600","8962200","10230900","8573900","832900","8504700","8750000","8638200","772000","8566800","8656900","17844800","86979000","118026500","8666800","8620900","95","118","279777"
"NewPattern001 SaaS_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8658200","819200","8547400","8515700","8642300","786800","8930400","8770400","8809300","890300","8516300","8748700","16457600","39738200","39826300","8588600","8782800","5","4","14043"
"NewPattern002 PaaS_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","8713600","832000","8569200","8649700","8725200","823400","8578800","8602500","8561500","829800","8464600","8722900","16506500","39767200","39768100","8665000","8557800","5","4","14010"
"NewPattern003 IaaS_transformed.graphml","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","8685000","841400","8532000","8526700","8587400","895700","8533200","8606600","8600000","840400","8507900","8575800","16436800","39701900","39905900","8754400","8596800","5","4","14027"
"NewPattern004 FromSupplierToCustomer_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8886700","930800","8864800","10164900","8882900","958800","8744900","8711200","8625600","909500","8535200","8659100","17768700","967938800","1004428300","8674100","8654500","80","129","282612"
"nuevo academica_transformed.graphml","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","10217400","2853000","12095000","11431500","9601800","1418800","9387400","9064900","10197400","1794100","8753300","9169500","37799400","9269500","9198800","8683100","8679100","171","208","512508"
"nva_final_login_feature_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8874600","1367300","8963500","8737900","8838400","922200","9209600","8834000","8832200","995100","9045400","8659800","16909700","9097900","8977700","8920900","8942200","7","3","15459"
"oas-core_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","8860700","834500","8741900","8806300","9053000","819200","8845700","9240800","8869000","849600","9316600","8774900","17422300","273035300","272582700","8672700","8595000","44","44","120739"
"onix_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8830200","914100","8762900","8625300","8608600","768600","8819600","8794100","8731800","811000","8939500","8585200","16914200","8871700","8869900","8668200","8568900","29","23","72037"
"OpenDRR_transformed.graphml","0","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","9058100","1154700","9445000","9781600","9072400","1184600","9119400","8943200","8874700","1051900","8972800","8751000","21493600","1271038800","1310127800","9334400","8691800","188","178","495594"
"Optimistic Offline Lock_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8822600","836000","8503900","8566000","8586600","796600","8555700","8587600","8569900","811500","8579000","8530800","16549500","8666400","8598300","8575900","8518900","0","0","1329"
"Organic_Structure_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","8881400","858700","8594600","8636800","8541300","820300","8515200","8658800","8618400","789400","8517700","8670700","16821100","233130500","240731100","8719900","8768100","16","15","43868"
"OwnBM_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8669500","889100","8895200","8636200","8663100","865900","8695800","8676400","8708000","979900","8559100","8554900","17113700","295238800","334930800","8729500","8850800","41","28","95918"
"PaaS_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","8673700","854100","8552300","8684300","8637100","868600","8540000","8582400","8519900","849300","8608600","8651300","16651200","8907500","9215100","8794100","8697400","5","6","16128"
"Paczkomaty_transformed.graphml","0","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","0","0","8954300","1083200","9177700","9521500","8983800","1112300","8915100","9088300","8731000","1062200","8719300","8769400","22123400","2077258200","2257654200","8956400","8951000","235","271","689714"
"Page Controller_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8715500","875800","8508000","8568700","8573100","782600","8485600","8684300","8698900","859600","8617200","8491600","16549300","8668800","8731200","8898800","8882800","0","0","1329"
"PaladinFutureDesign_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8736700","764800","9252300","9313100","8691700","736700","8652200","8655100","8600800","796200","8589700","8572200","17855600","507204800","522535800","8649100","8600000","62","111","233717"
"parser_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","1","8645700","817600","8581600","8639100","9140900","995100","8611300","8669500","8576500","823600","8569200","8549500","16822900","109705300","163929400","8648800","8620800","33","35","90775"
"Pattern001 Repair and Maintenance_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9022000","782500","8441400","8641200","8616800","780200","8450000","8560100","8538000","821400","8498100","8482400","16464700","8709800","8603500","8505600","8491200","0","0","1329"
"Pattern007 Border Router Security Lockdown_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8663400","880500","8976600","8549400","8721900","798700","8635800","8678300","8574200","784600","8568200","8493200","16564700","55528300","55256300","8592900","8555900","6","5","16600"
"Pattern008 Tiered Distribution_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8644600","799300","8439800","8618200","9628200","723200","8941400","8574700","8512400","787800","8512100","8655900","16462900","8626900","8566200","8500600","8493200","0","0","1329"
"Pattern011 Load balanced cluster_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8696400","789900","8590500","8525900","8655900","793200","8557400","8831100","8587700","828600","8595100","8536400","16528900","8643700","8795300","8674200","8580200","3","2","8487"
"Pattern012 Failover Cluster_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8667600","829100","8500900","8663600","9099400","827800","8629800","8971800","8952200","943800","8699200","8838500","16836900","32679600","55249400","8611600","8535200","3","2","8510"
"Pattern104 Basic process architecture pattern_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","0","0","0","8726800","837600","9012000","15486800","8667400","770100","8572100","8671400","8573700","775200","8516200","8845600","16820300","8710800","8657100","8575700","8591900","11","20","43350"
"Pattern108 Fully automated business process pattern_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8664000","790900","8586300","8572200","8566000","772900","8563800","8654000","8637100","772700","8720800","8569500","16438400","8612000","8687400","8544600","8609900","2","1","5910"
"Pattern116 Fully supported business process pattern Identification_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8686700","961600","8586200","8544400","8738000","795800","8668200","8642700","8697700","982100","8760100","8772300","16614600","70609500","70827900","8582500","8529400","4","3","11329"
"Pattern141 PERSONALIZATION_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","11327700","1019200","9493800","9485100","9061200","974500","9111800","8902400","8745300","886600","8766100","8844600","19826500","992090900","987893500","8926700","8737700","86","112","268517"
"Pattern153 WEB PORTAL_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8807900","849300","8745500","9484400","8769800","886300","8520300","8623100","8626400","907600","8483500","8514900","16554200","132359100","132752400","8750100","8574300","9","8","24904"
"Pattern156 KNOWLEDGE BASE_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8637700","797100","8489500","8519200","8509700","726800","8499400","8654100","8966200","783900","8495000","8527000","16539700","8645600","8670700","8541000","8500300","4","3","11346"
"Pattern157 RULE ENGINE_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8735900","817500","8613300","8755800","8945100","823700","8572800","8586400","8564300","759700","8518300","8473400","16585000","8595700","8564600","8498700","8495400","8","7","22113"
"Pattern159 BUSINESS PROCESS MANAGEMENT_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8992600","1043200","9064600","9278500","8828300","838500","8571300","8600600","8595100","844500","8848700","8522300","17682700","40551700","39873900","8649900","8557700","8","7","22279"
"Pattern162 CASEMANAGEMENT_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8868400","793200","8484000","8512200","8496600","768600","8478100","8508400","8482600","785400","8523800","8496800","16699300","8886700","8721300","8567700","8532500","5","4","14017"
"Pattern163 VIRTUAL DOSSIER_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8602800","796600","8519300","8604400","8675500","827300","8552200","8757900","8578500","839600","8603500","8761800","16708000","40051800","40005800","8954700","8655000","7","6","19541"
"Pattern166 BUSINESS INTELLIGENCE_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","8614200","766500","8644800","8636400","8796600","732300","10227800","8621700","8596600","763900","8542300","8555400","17437500","411441300","428640700","8793300","8696900","43","59","139323"
"Pattern168 WorkTogether_transformed.graphml","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","8720500","845400","8770300","9016500","9471800","865400","8688800","8682300","8588400","892600","9791100","8600500","18072800","1038038700","1063164400","8598200","8581300","90","114","276537"
"Pattern169 VendingMachine_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8692900","833300","8994900","9308200","8771500","894800","14633300","8655600","8546500","917600","8617100","8610200","18241400","845881200","858891100","8661100","8561200","72","97","229139"
"Pattern170 KnowYourCustomer_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8768900","840800","9035700","10088000","9016600","905900","8695200","8686000","8581300","899600","8607000","8651400","20358800","1371573200","1366154000","8807600","8884700","117","173","390633"
"Pattern171 Financials_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","9054100","1011300","8948600","9276100","8942600","1171700","9187300","8824300","8723800","924700","8721200","8745100","18143500","953579500","977489600","8729900","8595300","77","113","257314"
"Pattern173 Resources are Scarce_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8757100","851200","8755800","9070700","8797600","903200","8747300","8777400","8680300","867300","8710400","8626800","18586700","1053012200","1082056200","8875100","9171500","88","95","248942"
"Pattern174 FromSupplierToCustomer_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8843500","995500","9000300","10230300","8834500","869300","8591700","8605000","8595200","854600","8500200","8705800","17498600","911009100","896047000","8736600","8745500","65","117","245553"
"Pattern179 YouHaveMail_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8757800","854300","8892200","10141300","8825500","882900","8703000","8679200","8632100","879100","8636000","8591600","19491400","1091456200","1086257200","8676000","8676400","106","172","374095"
"Pessimistic Offline Lock_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8585500","806600","8558700","8600300","8580300","719800","8476100","8598100","8556200","757800","8474700","8671800","16618600","8756600","8673200","8615100","8760100","0","0","1329"
"Plugin_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8647700","772600","8447500","8501300","8523500","786500","8504000","8637800","8548100","787800","8523900","8506300","16586900","47371400","55624700","8621400","8531100","5","4","14007"
"plutusIO_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","8637900","762500","8583800","8563700","8558600","775400","8591300","8604800","8575700","780100","8524000","8548100","17779700","629763300","659526600","8679700","8593400","51","52","141806"
"Production Deployment_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8737500","857000","8610100","8758600","8816800","810900","8719600","8755700","8706100","887100","8578500","8506300","16656800","148306300","147925200","8774600","8549300","10","8","26151"
"PSN ModelMate for API Analysis3_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8677600","866500","8473600","8537900","8498300","728300","8687200","8680700","8639300","873200","8556700","8464800","16391000","8593700","8618500","8560300","8513700","0","0","1329"
"PSN ModelMate for API Analysis5_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","8713900","805100","8525900","8577400","8608000","799800","8507400","8522100","8559400","831200","8575400","8508600","17118200","256898400","257529200","8646100","8521100","31","45","100917"
"PSN ModelMate for API Analysis6_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","0","0","9088300","816800","8645700","8751800","8651800","839100","8606400","8613700","8592700","839800","8569900","8521500","17155600","257407700","257745000","8737500","8607200","33","50","109988"
"PSNModelMate1_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8706400","835400","8529100","8568300","8844600","925000","8864200","8762800","8657800","858200","9208800","8599400","18007800","8963400","8786000","8612700","8566600","49","32","109572"
"PSNModelMate2_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","8909400","836200","8705400","8870500","8697400","898000","8725300","8640600","8632500","851700","8587000","9326200","18912500","303538800","350902600","8654200","8582300","93","95","249167"
"PSNModelMate3_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","8985000","970700","8907200","9146400","8939600","905400","9072600","8847300","8828000","1062200","8882700","8925200","19756000","298957400","351561800","8778500","8620600","93","95","249167"
"PSNModelMate4_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","8752700","808500","8615000","8904100","8769900","902900","8736000","8624700","8641800","835700","8558500","8502600","18915000","329090500","375615800","8800100","8578700","96","106","266992"
"PSNModelMate5_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","8843100","856100","8736200","9012600","8847600","864000","8784500","8728200","8696000","954000","8644600","8696800","19155000","320885900","367163200","8706600","8681200","103","106","276275"
"PSNModelMate6_transformed.graphml","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","8812300","894000","8846600","9056300","8748100","820700","8941000","8686100","8676500","853900","8650500","8744800","41857400","622248200","665565900","8664600","8779900","263","187","601850"
"Pushmodel_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8744400","809300","8471000","8512800","8806300","811900","8600700","8553500","8514400","769800","8439500","8528600","16572100","8635800","8568100","8504900","8616300","3","0","5867"
"pve_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","8633700","794600","8496200","8820100","8677300","802600","8478500","8554600","8712700","872200","8557400","8563900","16684900","8643800","8665100","8580500","8522900","14","13","37165"
"Query Object_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8594200","753700","8484400","8482700","8540400","731800","8487100","8596800","8561900","741800","8518300","8486800","16391800","8653200","8586800","8502700","8612600","0","0","1329"
"Record Set_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8541100","722700","8455500","8487800","8554300","757000","8486100","8519400","8534800","802600","8687400","8492500","16352300","8579200","8601500","8654100","8521300","0","0","1329"
"Registry_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8536200","780100","8494300","8616700","8648000","791000","8512900","8571900","8495700","731900","8614300","8571200","16447600","8610900","8537300","8466000","8455400","0","0","1329"
"Remote Facade_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8539400","755700","8522100","8542000","8552100","749600","8443600","8550600","8553700","780400","8479200","8486000","16545100","8630200","8640700","8538800","8482100","0","0","1329"
"Report API_transformed.graphml","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","1","0","1","8667500","932000","8604000","8626800","8744900","817700","8487200","8530600","8572700","820800","8509400","8876500","17134500","132943200","133339500","8714200","8632900","39","48","118408"
"Repository_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8540600","792000","8478200","8510300","8473000","689100","8450700","8537500","8756800","739400","8523000","8633600","16391900","8621700","8823600","8536300","8512200","0","0","1329"
"Return Freight_transformed.graphml","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","0","0","8785400","950300","8922900","8609000","10388100","937700","8601800","8694100","8896700","939000","8529000","8638700","17053800","443007200","446031000","8735900","8704700","44","51","126936"
"Row Data Gateway_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8706200","802700","8493900","8500500","8625100","778800","8463500","8672500","8640300","799000","8541800","8538900","16460000","8676000","9777900","8543700","8811000","0","0","1329"
"SaaS_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8915000","871500","8660400","8711400","8802200","874200","8593100","8776800","8808800","1005700","8714400","8683100","16725200","8805000","8833200","8732900","8672700","4","4","12207"
"Scheme_transformed.graphml","0","0","0","0","1","1","1","1","1","0","0","1","0","1","0","1","0","0","8789900","815900","8754800","8759200","8883600","879800","8496300","8611400","8540000","805900","8680800","8504000","17268200","202409500","350805400","8616800","8516400","31","42","98648"
"Scratch0_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8985400","960100","8470100","8471800","8577200","809700","8560100","8677100","8551400","813600","8551300","8495700","16550400","8701300","8622000","8592400","8537200","4","1","8512"
"Scratch1_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8600900","868000","8469400","8512900","8597700","943000","8643000","8653900","8598300","828600","8527000","8524900","16838600","8776700","8741300","8586900","8632800","4","1","8512"
"Scratch2_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8622800","857700","8672900","10932700","8706800","832000","8692600","8663800","8556600","805300","8504400","8543200","16506700","8667000","8647600","8818500","8493200","4","1","8512"
"Scratch3_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8877100","891500","8577000","8652400","8762100","870300","8614800","8662200","8637800","838200","8532300","8514700","16519600","8624100","8591100","8571200","8591400","4","1","8512"
"Scratch4_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8603500","859900","8778900","8486900","8747300","815800","8486600","8562000","8479300","791800","8492600","8512800","19081500","8619700","8536200","8509400","8472800","4","1","8512"
"Scratch5_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8604800","871100","8618500","8572800","9050400","919300","8626600","8728300","8624000","914400","8683200","8636200","16743000","8865400","9080700","8737400","8766600","4","1","8512"
"Scratch6_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8884000","951800","8621200","8658400","8700500","795300","8551900","8605200","8589200","846000","8554400","8728400","16491700","8594700","8604500","8620000","8595900","4","1","8512"
"Scratch_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8665700","873900","8678100","8753600","8992000","927300","8700000","8673000","8944300","864400","8538700","8733100","16980800","8772000","8777400","8736400","8546700","4","1","8512"
"SDS_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","24520700","1231700","8744600","8763300","8987500","932000","8824900","8622700","8588400","881200","8552200","8490900","16796500","179485400","179245700","8608300","8531900","49","36","116613"
"Separated Interface_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8755200","781200","8463200","8478500","8481500","693300","8448900","8637000","8574900","767700","8501700","8476500","16342800","8622900","8596500","10200000","8609600","0","0","1329"
"Serialized LOB_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8774900","848400","8589600","8546700","8610900","738000","8506400","8591800","8570800","752200","8636700","8593800","16467600","8655100","8632000","8484800","9104700","0","0","1329"
"Server Session State_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8776900","825600","8559700","8586900","8524200","743000","8491100","8547500","8457100","748700","8551600","8472900","16735600","8924500","8752200","8604700","8629500","0","0","1329"
"Service Locator_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","8897700","825600","8512900","8553700","8528600","773600","8443400","8764800","8532200","787400","8506200","8481200","16692700","171089700","180941900","8672700","8706000","14","15","39961"
"ServiceNow_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","1","0","8648700","772700","8672400","8841000","8842500","809900","8583700","8689400","8611300","829200","8797300","8485900","17717100","312599700","370769700","9002100","8747500","71","75","228778"
"signal-collector_transformed.graphml","0","0","0","0","1","1","1","1","1","0","0","0","1","1","0","0","0","0","8640300","785100","8475600","8601100","8637600","814000","8543500","8555100","8525100","803100","8509600","8547000","16646000","55962800","55495500","8716300","8704700","22","28","68783"
"Single Table Inheritance_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8739900","816000","8590500","8662000","8714500","768200","8553300","8682400","8685400","800700","8586200","8557300","16417500","8559000","8664600","8525800","8501200","0","0","1329"
"SMAG V3.2_transformed.graphml","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","1","1","0","8840100","832000","8770100","10041700","8881300","985000","9142600","8993500","8863000","961600","8950800","8752500","34908900","972673900","1166477100","9133000","8735400","285","152","611604"
"SMAG V3.3_transformed.graphml","0","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","9051500","979700","9366900","10998300","9074500","933900","9869800","8855500","8875500","964400","8715500","8864200","190581300","1472766700","1844869200","9386700","9096800","576","296","1222583"
"SMAG V3_transformed.graphml","0","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","9058200","966900","9075700","10994400","8901700","873000","9810700","8810200","8896800","977900","8750000","8885000","199487400","1475113200","1840619500","9509700","8818000","576","296","1222583"
"SMAG V5_transformed.graphml","0","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","9215500","931900","9071900","11040100","9112300","1003300","9892700","8879700","8995000","1017200","8822200","8897000","189606800","1483837200","1842550800","9276800","8884700","576","296","1222583"
